name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
109 Psc b,Confirmed,5.743,0.289,1.011,6.383,0.078,0.078,1.152,,,1075.4,0.7,0.8,2.051,0.087,0.079,0.104,0.008,0.009,86.116,20.53,19.957,0.066339,2000,2024-06-14,112.816,5.448,5.254,2451492.0,17.0,17.0,,,,,,,,,,,,,,,,,,,114.583,1.196,1.067,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Radial Velocity,Theoretical,HD 10697 b,,109 Psc,26.2326,20.08315,6.29,,,,,32.56,0.88,0.88,0.1,0.06,0.06,1.13,0.03,0.03,1.79,0.17,0.17,G5 IV,6.9,0.6,0.6,5600.0,80.0,80.0,,,HD 10697
1RXS 1609 b,Confirmed,14.0,3.0,2.0,,,,1.7,,,,,,330.0,0.0,0.0,,,,,,,2.275862,2008,2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,4.0,Published in a refereed paper,Imaging,,,"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609","CO, H2O, K",1RXS 1609,242.375,-21.0827778,,10.99,9.82,9.12,8.92,145.0,20.0,20.0,,,,0.73,0.05,0.05,1.35,,,K7V,0.011,0.002,0.002,4060.0,200.0,200.0,,,"1RXS1609, 1RXS J1609, 1RXS J160929.1-210524"
2MASS J0103-5515 (AB)b,Confirmed,10.5,1.1,1.1,,,,1.54,0.03,0.03,,,,84.0,,,,,,,,,,2013,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1731.0,96.0,96.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,"Delorme 1 (AB)b, 2MASS J01033563-5515561 (AB)b",H,2MASS J0103-5515,15.9,-55.2656,,,7.5,,,47.2,3.1,3.1,,,,0.4,,,,,,M,0.03,,,,,,,,"Delorme 1, 2MASS J01033563-5515561"
2MASS J0122-2439 b,Confirmed,25.0,12.0,12.0,,,,1.2,0.2,0.2,,,,52.0,6.0,6.0,,,,,,,1.37,2013,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,"2M 0122-24 b, BWL 63 b, 2MASS J01225093-2439505 b, WISE J012251.02-243952.0 b",,2MASS J0122-2439,20.712243,-24.664049,,,10.084,9.47,,36.0,4.0,4.0,,,,0.4,0.05,0.05,0.37,,,M3.5V,0.144,0.082,0.105,3530.0,50.0,50.0,,,"BWL 63, 2MASS J01225093-2439505, WISE J012251.02-243952.0"
2MASS J0213+3648 (AB)b,Confirmed,63.0,9.0,9.0,,,,1.1,,,,,,360.0,,,,,,,,,,2017,2024-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.0,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"2MASS J0213+3648 C, 2MASSW J0213198+364837",,2MASS J0213+3648,9.067132871325834,18.352857407212777,13.86,,,,,22.2,4.0,6.4,-0.07,,,0.26,0.06,0.06,0.214,0.007,0.007,M4.5V,5.5,4.5,4.5,3300.0,,,,,"JNN 18, 2MASS J02132062+3648506"
2MASS J0219-39 b,Confirmed,13.9,1.1,1.1,,,,1.44,0.03,0.03,,,,156.0,10.0,10.0,,,,,,,,2015,2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,"J0219-3925 B, 2MASS J02192210-3925225 b",,2MASS J0219-3925,34.841666674,-39.423055569,,,,,,39.4,2.6,2.6,,,,0.11,0.01,0.01,0.27,0.01,0.01,M6,,,,3064.0,76.0,76.0,,,2MASS J0292210-3925225
2MASS J0414+2811,Confirmed,53.0,,,,,,8.73,,,,,,2800.0,,,,,,,,,23.43,2004,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2963.0,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"V773 Tau (ABC)b, 2MASS J04141188+2811535",,V773 Tau (ABC),63.55385881288,28.20343307088,,,,,,132.8,2.3,2.3,,,,2.87,,,2.22,0.2,0.2,K3e+K3+K3+K3+M4,0.003,0.001,0.001,,,,,,"HD 283447, HIP 19762, GHE 1, HBC 367"
2MASS J0441+2301 Ab,Confirmed,35.0,5.0,5.0,,,,4.1,0.2,0.2,,,,33.0,,,,,,,,,,2015,2025-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.0,,,,,,,,,Published in a refereed paper,Imaging,,,2MASS J04414489+2301513 Ab,,2MASS J0441+2301 A,70.4375,23.0308333,,,14.2,13.72,13.16,145.0,15.0,15.0,,,,0.2,0.05,1.0,1.1,,,M4.5V,0.002,,,3400.0,,,,,2MASS J04414489+2301513 A
2MASS J0441+2301 B,Confirmed,19.0,3.0,3.0,,,,3.5,1.9,1.9,,,,1800.0,,,,,,,,,,2010,2025-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.0,,,,,,,,,Published in a refereed paper,Imaging,,,"2MASS J04414489+2301513 B, 2MASS J04414489+2301513 Ba",,2MASS J0441+2301 A,70.4375,23.0308333,,,14.2,13.72,13.16,145.0,15.0,15.0,,,,0.2,0.05,1.0,1.1,,,M4.5V,0.002,,,3400.0,,,,,2MASS J04414489+2301513 A
2MASS J1118-0640 b,Confirmed,65.0,5.0,5.0,,,,0.9,0.1,0.1,,,,709.0,,,,,,,,,,2014,2025-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.0,100.0,100.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"CFBDS J111807-064016, 2MASS J11180698-0640078 b",,2MASS J1118-0640,169.52917497826,-6.66881277459,19.14,,,,,100.716,1.574,1.574,-0.1,0.1,0.1,0.185,0.02,0.02,0.216,0.0074,0.0074,M4.5V,6.0,,,3030.0,157.0,157.0,,,2MASS J11180698-0640078
2MASS J1315-2649 b,Confirmed,28.0,4.0,4.0,,,,0.91,0.02,0.02,19162.5,2737.5,2737.5,6.6,0.9,0.9,,,,,,,,2011,2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,670.0,7.0,7.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J13153094-2649513 b,,2MASS J1315-2649,198.87858242815332,26.83106370310139,,,15.19,14.06,13.46,19.0,3.0,3.0,,,,0.074,0.002,0.002,0.084,0.02,0.02,L5Ve,0.9,0.1,0.1,1770.0,140.0,140.0,,,2MASS J13153094-2649513
2MASS J1839+4424 b,Confirmed,38.7,1.6,1.8,,,,1.58,0.67,0.0,,,,832.0,,,,,,,,,1.84,2008,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,,,,,Published in a refereed paper,"Imaging, Astrometry",Spectrum,Flux,"2MASS J18392735+4424484, KPP 3332 b",,2MASS J1839+4424,279.87168394516,44.41071000347,,,,,,37.67,,,,,,0.071,0.0047,0.0031,0.123,0.00382,0.00382,M9V,0.185,0.02,0.02,2810.0,158.0,158.0,,,"2MASS J18392917+4424386, KP 3332 A"
